Year,NOC,Gold,Silver,Bronze
2004,PNG,0,0,0
2004,POL,4,2,6
2004,PRI,0,0,0
2004,PRK,0,4,1
2004,PRT,0,2,1
2004,PRY,0,17,0
2004,QAT,0,0,0
2004,ROU,23,5,11
2004,RUS,48,46,95
2004,RWA,0,0,0
2004,SAU,0,0,0
2004,SCG,0,13,0
2004,SDN,0,0,0
2004,SEN,0,0,0
2004,SGP,0,0,0
2004,SLB,0,0,0
2004,SLE,0,0,0
2004,SLV,0,0,0
2004,SMR,0,0,0
2004,SOM,0,0,0
2004,STP,0,0,0
2004,SUR,0,0,0
2004,SVK,3,2,5
2004,SVN,0,2,3
2004,SWE,5,5,2
2004,SWZ,0,0,0
2004,SYC,0,0,0
2004,SYR,0,0,1
2004,TCD,0,0,0
2004,TGO,0,0,0
2004,THA,3,1,4
2004,TJK,0,0,0
2004,TKM,0,0,0
2004,TLS,0,0,0
2004,TON,0,0,0
2004,TPE,2,4,3
2004,TTO,0,0,1
2004,TUN,0,0,0
2004,TUR,3,3,5
2004,TZA,0,0,0
2004,UGA,0,0,0
2004,UKR,8,8,31
2004,URY,0,0,0
2004,USA,117,75,71
2004,UZB,2,1,2
2004,VCT,0,0,0
2004,VEN,0,0,2
2004,VGB,0,0,0
2004,VIR,0,0,0
2004,VNM,0,0,0
2004,VUT,0,0,0
2004,WSM,0,0,0
2004,YEM,0,0,0
2004,ZAF,4,3,3
2004,ZMB,0,0,0
2004,ZWE,1,1,1
2006,ALB,0,0,0
2006,AND,0,0,0
2006,ARG,0,0,0
2006,ARM,0,0,0
2006,AUS,1,0,1
2006,AUT,16,7,7
2006,AZE,0,0,0
2006,BEL,0,0,0
2006,BGR,0,1,0
2006,BIH,0,0,0
2006,BLR,0,1,0
2006,BMU,0,0,0
2006,BRA,0,0,0
2006,CAN,30,28,11
2006,CHE,5,7,9
2006,CHL,0,0,0
2006,CHN,2,5,6
2006,CRI,0,0,0
2006,CYP,0,0,0
2006,CZE,1,2,24
2006,DEU,23,25,6
2006,DNK,0,0,0
2006,DZA,0,0,0
2006,ESP,0,0,0
2006,EST,3,0,0
2006,ETH,0,0,0
2006,FIN,0,34,7
2006,FRA,3,2,10
2006,GBR,0,1,0
2006,GEO,0,0,0
2006,GRC,0,0,0
2006,HKG,0,0,0
2006,HRV,1,2,0
2006,HUN,0,0,0
2006,IND,0,0,0
2006,IRL,0,0,0
2006,IRN,0,0,0
2006,ISL,0,0,0
2006,ISR,0,0,0
2006,ITA,11,0,14
2006,JPN,1,0,0
2006,KAZ,0,0,0
2006,KEN,0,0,0
2006,KGZ,0,0,0
2006,KOR,14,3,2
2006,LBN,0,0,0
2006,LIE,0,0,0
2006,LTU,0,0,0
2006,LUX,0,0,0
2006,LVA,0,0,1
2006,MCO,0,0,0
2006,MDA,0,0,0
2006,MDG,0,0,0
2006,MKD,0,0,0
2006,MNG,0,0,0
2006,NLD,3,2,8
2006,NOR,2,9,12
2006,NPL,0,0,0
2006,NZL,0,0,0
2006,POL,0,1,1
2006,PRK,0,0,0
2006,PRT,0,0,0
2006,ROU,0,0,0
2006,RUS,16,12,13
2006,SCG,0,0,0
2006,SEN,0,0,0
2006,SMR,0,0,0
2006,SVK,0,1,0
2006,SVN,0,0,0
2006,SWE,35,21,8
2006,THA,0,0,0
2006,TJK,0,0,0
2006,TPE,0,0,0
2006,TUR,0,0,0
2006,UKR,0,0,3
2006,USA,9,11,32
2006,UZB,0,0,0
2006,VEN,0,0,0
2006,ZAF,0,0,0
2008,ABW,0,0,0
2008,AFG,0,0,1
2008,AGO,0,0,0
2008,AHO,0,0,0
2008,ALB,0,0,0
2008,AND,0,0,0
2008,ARE,0,0,0
2008,ARG,20,0,31
2008,ARM,0,0,6
2008,ASM,0,0,0
2008,ATG,0,0,0
2008,AUS,31,42,76
2008,AUT,0,1,2
2008,AZE,1,2,4
2008,BDI,0,0,0
2008,BEL,1,4,0
2008,BEN,0,0,0
2008,BFA,0,0,0
2008,BGD,0,0,0
2008,BGR,1,1,3
2008,BHS,0,6,1
2008,BIH,0,0,0
2008,BLR,8,5,16
2008,BLZ,0,0,0
2008,BMU,0,0,0
2008,BOL,0,0,0
2008,BRA,14,34,30
2008,BRB,0,0,0
2008,BRN,0,0,0
2008,BTN,0,0,0
2008,BWA,0,0,0
2008,CAF,0,0,0
2008,CAN,11,13,11
2008,CHE,3,1,7
2008,CHL,0,1,0
2008,CHN,74,53,57
2008,CIV,0,0,0
2008,CMR,1,0,0
2008,COD,0,0,0
2008,COG,0,0,0
2008,COK,0,0,0
2008,COL,0,1,1
2008,COM,0,0,0
2008,CPV,0,0,0
2008,CRI,0,0,0
2008,CUB,2,34,11
2008,CYM,0,0,0
2008,CYP,0,0,0
2008,CZE,3,4,0
2008,DEU,42,16,41
2008,DJI,0,0,0
2008,DMA,0,0,0
2008,DNK,6,7,6
2008,DOM,1,1,0
2008,DZA,0,1,1
2008,ECU,0,1,0
2008,EGY,0,0,1
2008,ERI,0,0,0
2008,ESP,7,47,16
2008,EST,1,2,0
2008,ETH,4,1,2
2008,FIN,1,2,2
2008,FJI,0,0,0
2008,FRA,25,24,28
2008,FSM,0,0,0
2008,GAB,0,0,0
2008,GBR,31,25,25
2008,GEO,3,0,3
2008,GHA,0,0,0
2008,GIN,0,0,0
2008,GMB,0,0,0
2008,GNB,0,0,0
2008,GNQ,0,0,0
2008,GRC,0,3,4
2008,GRD,0,0,0
2008,GTM,0,0,0
2008,GUM,0,0,0
2008,GUY,0,0,0
2008,HKG,0,0,0
2008,HND,0,0,0
2008,HRV,0,2,3
2008,HTI,0,0,0
2008,HUN,16,8,3
2008,IDN,2,2,3
2008,IND,1,0,2
2008,IRL,0,1,2
2008,IRN,1,0,1
2008,IRQ,0,0,0
2008,ISL,0,14,0
2008,ISR,0,0,1
2008,ITA,8,14,20
2008,JAM,5,3,6
2008,JOR,0,0,0
2008,JPN,23,15,13
2008,KAZ,2,4,7
2008,KEN,6,4,5
2008,KGZ,0,1,1
2008,KHM,0,0,0
2008,KIR,0,0,0
2008,KNA,0,0,0
2008,KOR,41,11,26
2008,KWT,0,0,0
2008,LAO,0,0,0
2008,LBN,0,0,0
2008,LBR,0,0,0
2008,LBY,0,0,0
2008,LCA,0,0,0
2008,LIE,0,0,0
2008,LKA,0,0,0
2008,LSO,0,0,0
2008,LTU,0,2,3
2008,LUX,0,0,0
2008,LVA,1,1,1
2008,MAR,0,1,1
2008,MCO,0,0,0
2008,MDA,0,0,1
2008,MDG,0,0,0
2008,MDV,0,0,0
2008,MEX,2,0,2
2008,MHL,0,0,0
2008,MKD,0,0,0
2008,MLI,0,0,0
2008,MLT,0,0,0
2008,MMR,0,0,0
2008,MNE,0,0,0
2008,MNG,2,2,0
2008,MOZ,0,0,0
2008,MRT,0,0,0
2008,MUS,0,0,1
2008,MWI,0,0,0
2008,MYS,0,1,0
2008,NAM,0,0,0
2008,NER,0,0,0
2008,NGA,0,16,7
2008,NIC,0,0,0
2008,NLD,39,18,4
2008,NOR,16,5,1
2008,NPL,0,0,0
2008,NRU,0,0,0
2008,NZL,4,2,9
2008,OMN,0,0,0
2008,PAK,0,0,0
2008,PAN,1,0,0
2008,PER,0,0,0
2008,PHL,0,0,0
2008,PLE,0,0,0
2008,PLW,0,0,0
2008,PNG,0,0,0
2008,POL,6,13,1
2008,PRI,0,0,0
2008,PRK,2,1,3
2008,PRT,1,1,0
2008,PRY,0,0,0
2008,QAT,0,0,0
2008,ROU,5,1,16
2008,RUS,43,46,53
2008,RWA,0,0,0
2008,SAU,0,0,0
2008,SDN,0,1,0
2008,SEN,0,0,0
2008,SGP,0,3,0
2008,SLB,0,0,0
2008,SLE,0,0,0
2008,SLV,0,0,0
2008,SMR,0,0,0
2008,SOM,0,0,0
2008,SRB,0,1,14
2008,STP,0,0,0
2008,SUR,0,0,0
2008,SVK,4,5,1
2008,SVN,1,2,2
2008,SWE,0,5,2
2008,SWZ,0,0,0
2008,SYC,0,0,0
2008,SYR,0,0,0
2008,TCD,0,0,0
2008,TGO,0,0,1
2008,THA,2,2,0
2008,TJK,0,1,1
2008,TKM,0,0,0
2008,TLS,0,0,0
2008,TON,0,0,0
2008,TPE,0,0,4
2008,TTO,5,1,0
2008,TUN,1,0,0
2008,TUR,1,3,3
2008,TUV,0,0,0
2008,TZA,0,0,0
2008,UGA,0,0,0
2008,UKR,10,5,16
2008,URY,0,0,0
2008,USA,127,110,80
2008,UZB,1,2,3
2008,VCT,0,0,0
2008,VEN,0,0,1
2008,VGB,0,0,0
2008,VIR,0,0,0
2008,VNM,0,1,0
2008,VUT,0,0,0
2008,WSM,0,0,0
2008,YEM,0,0,0
2008,ZAF,0,1,0
2008,ZMB,0,0,0
2008,ZWE,1,3,0
2010,ALB,0,0,0
2010,AND,0,0,0
2010,ARG,0,0,0
2010,ARM,0,0,0
2010,AUS,2,1,0
2010,AUT,11,9,6
2010,AZE,0,0,0
2010,BEL,0,0,0
2010,BGR,0,0,0
2010,BIH,0,0,0
2010,BLR,1,1,1
2010,BMU,0,0,0
2010,BRA,0,0,0
2010,CAN,67,15,8
2010,CHE,6,0,6
2010,CHL,0,0,0
2010,CHN,9,3,7
2010,COL,0,0,0
2010,CYM,0,0,0
2010,CYP,0,0,0
2010,CZE,2,0,7
2010,DEU,15,24,15
2010,DNK,0,0,0
2010,DZA,0,0,0
2010,ESP,0,0,0
2010,EST,0,1,0
2010,ETH,0,0,0
2010,FIN,0,1,46
2010,FRA,2,6,6
2010,GBR,1,0,0
2010,GEO,0,0,0
2010,GHA,0,0,0
2010,GRC,0,0,0
2010,HKG,0,0,0
2010,HRV,0,2,1
2010,HUN,0,0,0
2010,IND,0,0,0
2010,IRL,0,0,0
2010,IRN,0,0,0
2010,ISL,0,0,0
2010,ISR,0,0,0
2010,ITA,1,1,3
2010,JAM,0,0,0
2010,JPN,0,5,2
2010,KAZ,0,1,0
2010,KGZ,0,0,0
2010,KOR,6,10,2
2010,LBN,0,0,0
2010,LIE,0,0,0
2010,LTU,0,0,0
2010,LVA,0,3,0
2010,MAR,0,0,0
2010,MCO,0,0,0
2010,MDA,0,0,0
2010,MEX,0,0,0
2010,MKD,0,0,0
2010,MNE,0,0,0
2010,MNG,0,0,0
2010,NLD,4,1,6
2010,NOR,16,14,9
2010,NPL,0,0,0
2010,NZL,0,0,0
2010,PAK,0,0,0
2010,PER,0,0,0
2010,POL,1,3,4
2010,PRK,0,0,0
2010,PRT,0,0,0
2010,ROU,0,0,0
2010,RUS,6,5,14
2010,SEN,0,0,0
2010,SMR,0,0,0
2010,SRB,0,0,0
2010,SVK,1,1,1
2010,SVN,0,2,1
2010,SWE,11,3,4
2010,TJK,0,0,0
2010,TPE,0,0,0
2010,TUR,0,0,0
2010,UKR,0,0,0
2010,USA,12,63,22
2010,UZB,0,0,0
2010,ZAF,0,0,0
2012,ABW,0,0,0
2012,AFG,0,0,1
2012,AGO,0,0,0
2012,ALB,0,0,0
2012,AND,0,0,0
2012,ARE,0,0,0
2012,ARG,1,15,3
2012,ARM,0,1,2
2012,ASM,0,0,0
2012,ATG,0,0,0
2012,AUS,18,37,59
2012,AUT,0,0,0
2012,AZE,2,2,6
2012,BDI,0,0,0
2012,BEL,0,1,2
2012,BEN,0,0,0
2012,BFA,0,0,0
2012,BGD,0,0,0
2012,BGR,0,1,1
2012,BHS,4,0,0
2012,BIH,0,0,0
2012,BLR,3,12,8
2012,BLZ,0,0,0
2012,BMU,0,0,0
2012,BOL,0,0,0
2012,BRA,14,34,11
2012,BRB,0,0,0
2012,BRN,0,0,1
2012,BTN,0,0,0
2012,BWA,0,1,0
2012,CAF,0,0,0
2012,CAN,1,21,33
2012,CHE,2,2,0
2012,CHL,0,0,0
2012,CHN,56,40,29
2012,CIV,0,0,0
2012,CMR,0,0,0
2012,COD,0,0,0
2012,COG,0,0,0
2012,COK,0,0,0
2012,COL,1,3,4
2012,COM,0,0,0
2012,CPV,0,0,0
2012,CRI,0,0,0
2012,CUB,5,3,6
2012,CYM,0,0,0
2012,CYP,0,1,0
2012,CZE,4,4,6
2012,DEU,45,27,22
2012,DJI,0,0,0
2012,DMA,0,0,0
2012,DNK,3,5,8
2012,DOM,1,1,0
2012,DZA,1,0,0
2012,ECU,0,0,0
2012,EGY,0,2,0
2012,ERI,0,0,0
2012,ESP,5,33,25
2012,EST,0,1,1
2012,ETH,3,1,3
2012,FIN,0,1,4
2012,FJI,0,0,0
2012,FRA,30,30,22
2012,FSM,0,0,0
2012,GAB,0,1,0
2012,GBR,48,30,48
2012,GEO,1,3,3
2012,GHA,0,0,0
2012,GIN,0,0,0
2012,GMB,0,0,0
2012,GNB,0,0,0
2012,GNQ,0,0,0
2012,GRC,0,0,3
2012,GRD,1,0,0
2012,GTM,0,1,0
2012,GUM,0,0,0
2012,GUY,0,0,0
2012,HKG,0,0,1
2012,HND,0,0,0
2012,HRV,15,4,16
2012,HTI,0,0,0
2012,HUN,12,8,6
2012,IDN,0,1,1
2012,IND,0,2,4
2012,IOA,0,0,0
2012,IRL,1,1,3
2012,IRN,4,5,3
2012,IRQ,0,0,0
2012,ISL,0,0,0
2012,ISR,0,0,0
2012,ITA,16,22,30
2012,JAM,8,9,8
2012,JOR,0,0,0
2012,JPN,7,44,33
2012,KAZ,7,1,5
2012,KEN,2,4,5
2012,KGZ,0,0,0
2012,KHM,0,0,0
2012,KIR,0,0,0
2012,KNA,0,0,0
2012,KOR,18,13,30
2012,KWT,0,0,1
2012,LAO,0,0,0
2012,LBN,0,0,0
2012,LBR,0,0,0
2012,LBY,0,0,0
2012,LCA,0,0,0
2012,LIE,0,0,0
2012,LKA,0,0,0
2012,LSO,0,0,0
2012,LTU,2,1,2
2012,LUX,0,0,0
2012,LVA,1,0,2
2012,MAR,0,0,1
2012,MCO,0,0,0
2012,MDA,0,0,2
2012,MDG,0,0,0
2012,MDV,0,0,0
2012,MEX,16,5,3
2012,MHL,0,0,0
2012,MKD,0,0,0
2012,MLI,0,0,0
2012,MLT,0,0,0
2012,MMR,0,0,0
2012,MNE,0,14,0
2012,MNG,0,2,3
2012,MOZ,0,0,0
2012,MRT,0,0,0
2012,MUS,0,0,0
2012,MWI,0,0,0
2012,MYS,0,1,1
2012,NAM,0,0,0
2012,NER,0,0,0
2012,NGA,0,0,0
2012,NIC,0,0,0
2012,NLD,21,29,19
2012,NOR,15,1,1
2012,NPL,0,0,0
2012,NRU,0,0,0
2012,NZL,9,3,15
2012,OMN,0,0,0
2012,PAK,0,0,0
2012,PAN,0,0,0
2012,PER,0,0,0
2012,PHL,0,0,0
2012,PLE,0,0,0
2012,PLW,0,0,0
2012,PNG,0,0,0
2012,POL,2,2,8
2012,PRI,0,1,1
2012,PRK,4,0,2
2012,PRT,0,2,0
2012,PRY,0,0,0
2012,QAT,0,0,2
2012,ROU,2,8,6
2012,RUS,50,39,51
2012,RWA,0,0,0
2012,SAU,0,0,4
2012,SDN,0,0,0
2012,SEN,0,0,0
2012,SGP,0,0,4
2012,SLB,0,0,0
2012,SLE,0,0,0
2012,SLV,0,0,0
2012,SMR,0,0,0
2012,SOM,0,0,0
2012,SRB,1,1,14
2012,STP,0,0,0
2012,SUR,0,0,0
2012,SVK,0,1,4
2012,SVN,1,1,3
2012,SWE,2,17,3
2012,SWZ,0,0,0
2012,SYC,0,0,0
2012,SYR,0,0,0
2012,TCD,0,0,0
2012,TGO,0,0,0
2012,THA,0,2,1
2012,TJK,0,0,1
2012,TKM,0,0,0
2012,TLS,0,0,0
2012,TON,0,0,0
2012,TPE,0,1,1
2012,TTO,1,4,5
2012,TUN,1,1,1
2012,TUR,2,2,1
2012,TUV,0,0,0
2012,TZA,0,0,0
2012,UGA,1,0,0
2012,UKR,9,5,12
2012,URY,0,0,0
2012,USA,145,57,46
2012,UZB,1,0,2
2012,VCT,0,0,0
2012,VEN,1,0,0
2012,VGB,0,0,0
2012,VIR,0,0,0
2012,VNM,0,0,0
2012,VUT,0,0,0
2012,WSM,0,0,0
2012,YEM,0,0,0
2012,ZAF,6,2,1
2012,ZMB,0,0,0
2012,ZWE,0,0,0
2014,ALB,0,0,0
2014,AND,0,0,0
2014,ARG,0,0,0
2014,ARM,0,0,0
2014,AUS,0,2,1
2014,AUT,4,12,11
2014,AZE,0,0,0
2014,BEL,0,0,0
2014,BGR,0,0,0
2014,BIH,0,0,0
2014,BLR,5,0,1
2014,BMU,0,0,0
2014,BRA,0,0,0
2014,CAN,59,22,5
2014,CHE,6,4,20
2014,CHL,0,0,0
2014,CHN,3,4,5
2014,CYM,0,0,0
2014,CYP,0,0,0
2014,CZE,2,7,2
2014,DEU,15,12,9
2014,DMA,0,0,0
2014,DNK,0,0,0
2014,ESP,0,0,0
2014,EST,0,0,0
2014,FIN,2,7,24
2014,FRA,4,4,10
2014,GBR,1,4,5
2014,GEO,0,0,0
2014,GRC,0,0,0
2014,HKG,0,0,0
2014,HRV,0,1,0
2014,HUN,0,0,0
2014,IND,0,0,0
2014,IOA,0,0,0
2014,IRL,0,0,0
2014,IRN,0,0,0
2014,ISL,0,0,0
2014,ISR,0,0,0
2014,ITA,0,2,12
2014,JAM,0,0,0
2014,JPN,1,4,6
2014,KAZ,0,0,1
2014,KGZ,0,0,0
2014,KOR,7,5,2
2014,LBN,0,0,0
2014,LIE,0,0,0
2014,LTU,0,0,0
2014,LUX,0,0,0
2014,LVA,0,5,6
2014,MAR,0,0,0
2014,MCO,0,0,0
2014,MDA,0,0,0
2014,MEX,0,0,0
2014,MKD,0,0,0
2014,MLT,0,0,0
2014,MNE,0,0,0
2014,MNG,0,0,0
2014,NLD,13,7,9
2014,NOR,18,5,13
2014,NPL,0,0,0
2014,NZL,0,0,0
2014,PAK,0,0,0
2014,PER,0,0,0
2014,PHL,0,0,0
2014,POL,4,4,3
2014,PRT,0,0,0
2014,PRY,0,0,0
2014,ROU,0,0,0
2014,RUS,33,22,13
2014,SMR,0,0,0
2014,SRB,0,0,0
2014,SVK,1,0,0
2014,SVN,2,2,4
2014,SWE,8,32,11
2014,TGO,0,0,0
2014,THA,0,0,0
2014,TJK,0,0,0
2014,TLS,0,0,0
2014,TON,0,0,0
2014,TPE,0,0,0
2014,TUR,0,0,0
2014,UKR,4,0,1
2014,USA,10,30,24
2014,UZB,0,0,0
2014,VEN,0,0,0
2014,VGB,0,0,0
2014,VIR,0,0,0
2014,ZWE,0,0,0
2016,ABW,0,0,0
2016,AFG,0,0,0
2016,AGO,0,0,0
2016,ALB,0,0,0
2016,AND,0,0,0
2016,ARE,0,0,1
2016,ARG,21,1,0
2016,ARM,1,3,0
2016,ASM,0,0,0
2016,ATG,0,0,0
2016,AUS,23,34,25
2016,AUT,0,0,2
2016,AZE,1,7,10
2016,BDI,0,1,0
2016,BEL,2,17,2
2016,BEN,0,0,0
2016,BFA,0,0,0
2016,BGD,0,0,0
2016,BGR,0,1,6
2016,BHS,1,0,5
2016,BIH,0,0,0
2016,BLR,1,4,7
2016,BLZ,0,0,0
2016,BMU,0,0,0
2016,BOL,0,0,0
2016,BRA,36,8,6
2016,BRB,0,0,0
2016,BRN,1,1,0
2016,BTN,0,0,0
2016,BWA,0,0,0
2016,CAF,0,0,0
2016,CAN,4,4,61
2016,CHE,6,3,2
2016,CHL,0,0,0
2016,CHN,46,30,37
2016,CIV,1,0,1
2016,CMR,0,0,0
2016,COD,0,0,0
2016,COG,0,0,0
2016,COK,0,0,0
2016,COL,3,2,3
2016,COM,0,0,0
2016,CPV,0,0,0
2016,CRI,0,0,0
2016,CUB,5,2,4
2016,CYM,0,0,0
2016,CYP,0,0,0
2016,CZE,1,2,12
2016,DEU,49,43,67
2016,DJI,0,0,0
2016,DMA,0,0,0
2016,DNK,15,10,16
2016,DOM,0,0,1
2016,DZA,0,2,0
2016,ECU,0,0,0
2016,EGY,0,0,3
2016,ERI,0,0,0
2016,ESP,9,19,17
2016,EST,0,0,4
2016,ETH,1,2,5
2016,FIN,0,0,1
2016,FJI,13,0,0
2016,FRA,20,55,21
2016,FSM,0,0,0
2016,GAB,0,0,0
2016,GBR,64,55,26
2016,GEO,2,1,4
2016,GHA,0,0,0
2016,GIN,0,0,0
2016,GMB,0,0,0
2016,GNB,0,0,0
2016,GNQ,0,0,0
2016,GRC,3,1,3
2016,GRD,0,1,0
2016,GTM,0,0,0
2016,GUM,0,0,0
2016,GUY,0,0,0
2016,HKG,0,0,0
2016,HND,0,0,0
2016,HRV,7,15,2
2016,HTI,0,0,0
2016,HUN,12,3,7
2016,IDN,2,2,0
2016,IND,0,1,1
2016,IOA,1,0,1
2016,IRL,0,3,0
2016,IRN,3,1,4
2016,IRQ,0,0,0
2016,ISL,0,0,0
2016,ISR,0,0,2
2016,ITA,8,40,24
2016,JAM,11,17,2
2016,JOR,1,0,0
2016,JPN,17,13,34
2016,KAZ,3,5,10
2016,KEN,6,6,1
2016,KGZ,0,0,0
2016,KHM,0,0,0
2016,KIR,0,0,0
2016,KNA,0,0,0
2016,KOR,13,3,10
2016,LAO,0,0,0
2016,LBN,0,0,0
2016,LBR,0,0,0
2016,LBY,0,0,0
2016,LCA,0,0,0
2016,LIE,0,0,0
2016,LKA,0,0,0
2016,LSO,0,0,0
2016,LTU,0,2,5
2016,LUX,0,0,0
2016,LVA,0,0,0
2016,MAR,0,0,1
2016,MCO,0,0,0
2016,MDA,0,0,0
2016,MDG,0,0,0
2016,MDV,0,0,0
2016,MEX,0,3,2
2016,MHL,0,0,0
2016,MKD,0,0,0
2016,MLI,0,0,0
2016,MLT,0,0,0
2016,MMR,0,0,0
2016,MNE,0,0,0
2016,MNG,0,1,1
2016,MOZ,0,0,0
2016,MRT,0,0,0
2016,MUS,0,0,0
2016,MWI,0,0,0
2016,MYS,0,7,1
2016,NAM,0,0,0
2016,NER,0,1,0
2016,NGA,0,0,18
2016,NIC,0,0,0
2016,NLD,9,25,13
2016,NOR,0,0,19
2016,NPL,0,0,0
2016,NRU,0,0,0
2016,NZL,6,25,5
2016,OMN,0,0,0
2016,PAK,0,0,0
2016,PAN,0,0,0
2016,PER,0,0,0
2016,PHL,0,1,0
2016,PLE,0,0,0
2016,PLW,0,0,0
2016,PNG,0,0,0
2016,POL,3,3,10
2016,PRI,1,0,0
2016,PRK,2,3,2
2016,PRT,0,0,1
2016,PRY,0,0,0
2016,QAT,0,1,0
2016,ROT,0,0,0
2016,ROU,4,2,10
2016,RUS,52,28,35
2016,RWA,0,0,0
2016,SAU,0,0,0
2016,SDN,0,0,0
2016,SEN,0,0,0
2016,SGP,1,0,0
2016,SLB,0,0,0
2016,SLE,0,0,0
2016,SLV,0,0,0
2016,SMR,0,0,0
2016,SOM,0,0,0
2016,SRB,15,27,13
2016,SSD,0,0,0
2016,STP,0,0,0
2016,SUR,0,0,0
2016,SVK,3,5,0
2016,SVN,1,2,1
2016,SWE,2,23,3
2016,SWZ,0,0,0
2016,SYC,0,0,0
2016,SYR,0,0,0
2016,TCD,0,0,0
2016,TGO,0,0,0
2016,THA,2,2,2
2016,TJK,1,0,0
2016,TKM,0,0,0
2016,TLS,0,0,0
2016,TON,0,0,0
2016,TPE,1,0,4
2016,TTO,0,0,1
2016,TUN,0,0,3
2016,TUR,1,3,4
2016,TUV,0,0,0
2016,TZA,0,0,0
2016,UGA,0,0,0
2016,UKR,2,8,5
2016,URY,0,0,0
2016,USA,139,54,71
2016,UZB,4,2,7
2016,VCT,0,0,0
2016,VEN,0,1,2
2016,VGB,0,0,0
2016,VIR,0,0,0
2016,VNM,1,1,0
2016,VUT,0,0,0
2016,WSM,0,0,0
2016,YEM,0,0,0
2016,ZAF,2,7,14
2016,ZMB,0,0,0
2016,ZWE,0,0,0
