Year,NOC,Sport 1,Medals 1,Sport 2,Medals 2,Sport 3,Medals 3,Sport 4,Medals 4,Sport 5,Medals 5
1988,YUG,Basketball,24,Handball,15,Water Polo,13,Ski Jumping,5,Table Tennis,4
1988,CRI,Swimming,1,,,,,,,,
1988,JAM,Athletics,7,,,,,,,,
1988,MNG,Boxing,1,,,,,,,,
1988,SEN,Athletics,1,,,,,,,,
1988,FRG,Fencing,19,Football,18,Hockey,16,Equestrianism,14,Rowing,14
1988,GDR,Swimming,45,Rowing,38,Athletics,34,Gymnastics,18,Canoeing,17
1988,SUR,Swimming,1,,,,,,,,
1988,VIR,Sailing,1,,,,,,,,
1988,CHN,Rowing,14,Volleyball,11,Table Tennis,7,Diving,6,Weightlifting,5
1988,DJI,Athletics,1,,,,,,,,
1992,ARG,Tennis,2,,,,,,,,
1992,AUS,Hockey,16,Swimming,9,Cycling,8,Canoeing,6,Rowing,6
1992,AUT,Alpine Skiing,8,Ski Jumping,8,Bobsleigh,4,Equestrianism,4,Luge,4
1992,BEL,Cycling,1,Judo,1,Rowing,1,,,,
1992,BGR,Canoeing,4,Weightlifting,4,Shooting,3,Athletics,2,Boxing,2
1992,BHS,Athletics,1,,,,,,,,
1992,BRA,Volleyball,12,Judo,1,Swimming,1,,,,
1992,CAN,Rowing,25,Ice Hockey,22,Short Track Speed Skating,10,Swimming,6,Athletics,3
1992,CHE,Bobsleigh,6,Alpine Skiing,1,Tennis,1,,,,
1992,COL,Athletics,1,,,,,,,,
1992,CUB,Baseball,20,Athletics,13,Volleyball,10,Boxing,9,Fencing,6
1992,DEU,Rowing,42,Hockey,32,Swimming,27,Canoeing,22,Fencing,15
1992,DNK,Cycling,5,Sailing,5,Canoeing,2,Badminton,1,Boxing,1
1992,ESP,Football,17,Hockey,15,Water Polo,12,Sailing,8,Athletics,4
1992,ETH,Athletics,3,,,,,,,,
1992,FIN,Cross Country Skiing,6,Ski Jumping,6,Archery,3,Athletics,1,Biathlon,1
1992,FRA,Handball,16,Fencing,9,Judo,7,Canoeing,6,Cycling,5
1992,GBR,Hockey,16,Athletics,14,Rowing,5,Archery,4,Judo,4
1992,GHA,Football,20,,,,,,,,
1992,GRC,Athletics,1,Weightlifting,1,,,,,,
1992,HUN,Canoeing,13,Fencing,11,Swimming,9,Judo,4,Boxing,3
1992,IDN,Badminton,6,,,,,,,,
1992,IRL,Boxing,2,,,,,,,,
1992,IRN,Wrestling,3,,,,,,,,
1992,ISR,Judo,2,,,,,,,,
1992,ITA,Cross Country Skiing,14,Water Polo,12,Fencing,7,Rowing,7,Cycling,6
1992,JPN,Baseball,20,Judo,10,Gymnastics,8,Short Track Speed Skating,4,Speed Skating,4
1992,KEN,Athletics,8,,,,,,,,
1992,KOR,Handball,13,Table Tennis,8,Badminton,7,Archery,6,Short Track Speed Skating,6
1992,LUX,Alpine Skiing,2,,,,,,,,
1992,MAR,Athletics,2,Boxing,1,,,,,,
1992,MEX,Athletics,1,,,,,,,,
1992,NGA,Athletics,9,Boxing,2,,,,,,
1992,NLD,Volleyball,12,Equestrianism,9,Cycling,4,Speed Skating,4,Boxing,2
1992,NOR,Handball,14,Cross Country Skiing,11,Speed Skating,5,Alpine Skiing,4,Rowing,4
1992,NZL,Sailing,6,Equestrianism,5,Alpine Skiing,1,Athletics,1,Boxing,1
1992,PAK,Hockey,16,,,,,,,,
1992,PER,Shooting,1,,,,,,,,
1992,PHL,Boxing,1,,,,,,,,
1992,POL,Football,16,Rowing,6,Canoeing,5,Fencing,5,Modern Pentathlon,4
1992,PRI,Boxing,1,,,,,,,,
1992,ROU,Rowing,33,Gymnastics,10,Fencing,5,Athletics,1,Boxing,1
1992,SWE,Handball,16,Canoeing,8,Swimming,6,Biathlon,5,Wrestling,2
1992,TCH,Ice Hockey,22,Ski Jumping,4,Canoeing,3,Athletics,2,Shooting,2
1992,THA,Boxing,1,,,,,,,,
1992,TPE,Baseball,20,,,,,,,,
1992,TUR,Wrestling,4,Judo,1,Weightlifting,1,,,,
1992,USA,Swimming,56,Athletics,48,Basketball,24,Volleyball,24,Sailing,16
1992,ZAF,Tennis,2,Athletics,1,,,,,,
1992,DZA,Athletics,1,Boxing,1,,,,,,
1992,JAM,Athletics,4,,,,,,,,
1992,MNG,Boxing,1,Shooting,1,,,,,,
1992,MYS,Badminton,2,,,,,,,,
1992,PRK,Table Tennis,3,Wrestling,3,Boxing,2,Gymnastics,1,Short Track Speed Skating,1
1992,SUR,Swimming,1,,,,,,,,
1992,CHN,Gymnastics,13,Swimming,13,Basketball,11,Table Tennis,9,Badminton,8
1992,QAT,Athletics,1,,,,,,,,
1992,EST,Sailing,2,Cycling,1,,,,,,
1992,EUN,Swimming,30,Athletics,29,Gymnastics,28,Handball,25,Ice Hockey,22
1992,HRV,Basketball,12,Tennis,3,,,,,,
1992,IOA,Shooting,3,,,,,,,,
1992,LTU,Basketball,12,Athletics,1,,,,,,
1992,LVA,Canoeing,1,Cycling,1,Shooting,1,,,,
1992,NAM,Athletics,2,,,,,,,,
1992,SVN,Rowing,6,,,,,,,,
1994,AUS,Short Track Speed Skating,4,,,,,,,,
1994,AUT,Ski Jumping,5,Alpine Skiing,3,Luge,2,Speed Skating,2,,
1994,CAN,Ice Hockey,21,Short Track Speed Skating,6,Figure Skating,3,Freestyle Skiing,3,Biathlon,2
1994,CHE,Bobsleigh,8,Alpine Skiing,4,Nordic Combined,3,Freestyle Skiing,1,,
1994,DEU,Biathlon,12,Bobsleigh,8,Ski Jumping,6,Speed Skating,6,Alpine Skiing,4
1994,FIN,Ice Hockey,22,Cross Country Skiing,8,,,,,,
1994,FRA,Biathlon,9,Figure Skating,1,Freestyle Skiing,1,,,,
1994,GBR,Figure Skating,2,Short Track Speed Skating,1,,,,,,
1994,ITA,Cross Country Skiing,15,Luge,6,Short Track Speed Skating,5,Alpine Skiing,4,Bobsleigh,2
1994,JPN,Nordic Combined,4,Ski Jumping,4,Speed Skating,2,,,,
1994,KOR,Short Track Speed Skating,9,,,,,,,,
1994,NLD,Speed Skating,4,,,,,,,,
1994,NOR,Cross Country Skiing,10,Alpine Skiing,5,Nordic Combined,5,Speed Skating,5,Ski Jumping,3
1994,SWE,Ice Hockey,22,Alpine Skiing,1,Freestyle Skiing,1,,,,
1994,USA,Short Track Speed Skating,10,Alpine Skiing,4,Speed Skating,3,Figure Skating,1,Freestyle Skiing,1
1994,CHN,Figure Skating,1,Short Track Speed Skating,1,Speed Skating,1,,,,
1994,SVN,Alpine Skiing,3,,,,,,,,
1994,BLR,Biathlon,1,Speed Skating,1,,,,,,
1994,KAZ,Cross Country Skiing,3,,,,,,,,
1994,RUS,Biathlon,11,Figure Skating,9,Cross Country Skiing,8,Speed Skating,5,Freestyle Skiing,2
1994,UKR,Biathlon,1,Figure Skating,1,,,,,,
1994,UZB,Freestyle Skiing,1,,,,,,,,
1996,ARG,Football,18,Boxing,1,Sailing,1,,,,
1996,AUS,Hockey,32,Swimming,25,Rowing,16,Softball,15,Basketball,12
1996,AUT,Shooting,2,Athletics,1,,,,,,
1996,BEL,Judo,4,Sailing,1,Swimming,1,,,,
1996,BGR,Rhythmic Gymnastics,6,Shooting,4,Boxing,3,Weightlifting,3,Canoeing,2
1996,BHS,Athletics,5,,,,,,,,
1996,BRA,Football,17,Basketball,12,Volleyball,12,Sailing,5,Athletics,4
1996,CAN,Rowing,21,Synchronized Swimming,9,Athletics,6,Cycling,5,Swimming,3
1996,CHE,Canoeing,4,Rowing,3,Cycling,2,Equestrianism,1,Gymnastics,1
1996,CUB,Baseball,20,Volleyball,10,Boxing,7,Judo,6,Fencing,4
1996,DEU,Swimming,30,Canoeing,20,Rowing,18,Athletics,10,Equestrianism,10
1996,DNK,Handball,15,Rowing,5,Badminton,1,Cycling,1,Sailing,1
1996,ESP,Handball,16,Hockey,16,Water Polo,12,Rhythmic Gymnastics,6,Sailing,4
1996,ETH,Athletics,3,,,,,,,,
1996,FIN,Athletics,2,Swimming,1,Wrestling,1,,,,
1996,FRA,Cycling,12,Fencing,11,Rowing,10,Judo,6,Athletics,4
1996,GBR,Athletics,11,Rowing,6,Sailing,3,Cycling,2,Swimming,2
1996,GRC,Weightlifting,5,Athletics,1,Gymnastics,1,Sailing,1,,
1996,HKG,Sailing,1,,,,,,,,
1996,HUN,Handball,16,Canoeing,11,Swimming,6,Fencing,5,Athletics,1
1996,IDN,Badminton,6,,,,,,,,
1996,IND,Tennis,1,,,,,,,,
1996,IRL,Swimming,4,,,,,,,,
1996,IRN,Wrestling,3,,,,,,,,
1996,ISR,Sailing,1,,,,,,,,
1996,ITA,Fencing,15,Water Polo,13,Volleyball,12,Canoeing,7,Cycling,5
1996,JPN,Baseball,20,Synchronized Swimming,9,Judo,8,Sailing,2,Athletics,1
1996,KEN,Athletics,8,,,,,,,,
1996,KOR,Handball,16,Hockey,16,Archery,8,Judo,8,Badminton,7
1996,MAR,Athletics,2,,,,,,,,
1996,MEX,Athletics,1,,,,,,,,
1996,NGA,Football,16,Athletics,7,Boxing,1,,,,
1996,NLD,Hockey,32,Rowing,13,Volleyball,12,Equestrianism,6,Cycling,3
1996,NOR,Football,16,Athletics,2,Canoeing,2,Rowing,2,Sailing,1
1996,NZL,Equestrianism,6,Swimming,2,Sailing,1,,,,
1996,PHL,Boxing,1,,,,,,,,
1996,POL,Wrestling,5,Fencing,4,Archery,3,Shooting,3,Athletics,2
1996,PRI,Boxing,1,,,,,,,,
1996,PRT,Sailing,2,Athletics,1,,,,,,
1996,ROU,Gymnastics,15,Rowing,11,Canoeing,4,Fencing,4,Boxing,2
1996,SWE,Handball,16,Canoeing,6,Swimming,4,Sailing,2,Archery,1
1996,THA,Boxing,2,,,,,,,,
1996,TPE,Table Tennis,1,,,,,,,,
1996,TUN,Boxing,1,,,,,,,,
1996,TUR,Wrestling,3,Weightlifting,2,Boxing,1,,,,
1996,UGA,Athletics,1,,,,,,,,
1996,USA,Swimming,60,Athletics,39,Basketball,24,Baseball,20,Football,15
1996,ZAF,Swimming,3,Athletics,2,,,,,,
1996,CRI,Swimming,1,,,,,,,,
1996,DZA,Boxing,2,Athletics,1,,,,,,
1996,JAM,Athletics,16,,,,,,,,
1996,MNG,Judo,1,,,,,,,,
1996,MYS,Badminton,3,,,,,,,,
1996,PRK,Weightlifting,2,Wrestling,2,Judo,1,,,,
1996,TTO,Athletics,2,,,,,,,,
1996,ZMB,Athletics,1,,,,,,,,
1996,ECU,Athletics,1,,,,,,,,
1996,SYR,Athletics,1,,,,,,,,
1996,CHN,Football,15,Softball,15,Gymnastics,12,Swimming,12,Table Tennis,12
1996,MOZ,Athletics,1,,,,,,,,
1996,TON,Boxing,1,,,,,,,,
1996,HRV,Handball,16,Water Polo,12,,,,,,
1996,LTU,Basketball,11,,,,,,,,
1996,LVA,Canoeing,1,,,,,,,,
1996,NAM,Athletics,2,,,,,,,,
1996,SVN,Athletics,1,Canoeing,1,,,,,,
1996,ARM,Wrestling,2,,,,,,,,
1996,BLR,Rowing,10,Athletics,4,Gymnastics,4,Wrestling,4,Shooting,1
1996,CZE,Canoeing,6,Athletics,3,Tennis,3,Shooting,1,,
1996,GEO,Judo,1,Wrestling,1,,,,,,
1996,KAZ,Boxing,4,Shooting,3,Wrestling,2,Modern Pentathlon,1,Weightlifting,1
1996,MDA,Canoeing,2,Wrestling,1,,,,,,
1996,RUS,Gymnastics,20,Swimming,19,Fencing,15,Athletics,10,Rowing,9
1996,SVK,Canoeing,2,Shooting,1,,,,,,
1996,UKR,Gymnastics,11,Athletics,4,Rowing,4,Sailing,4,Wrestling,4
1996,UZB,Boxing,1,Judo,1,,,,,,
1996,AZE,Wrestling,1,,,,,,,,
1996,BDI,Athletics,1,,,,,,,,
1996,SCG,Basketball,12,Volleyball,12,Shooting,2,,,,
1998,AUS,Alpine Skiing,1,,,,,,,,
1998,AUT,Alpine Skiing,11,Ski Jumping,5,Cross Country Skiing,2,Luge,1,Snowboarding,1
1998,BEL,Speed Skating,1,,,,,,,,
1998,BGR,Biathlon,1,,,,,,,,
1998,CAN,Ice Hockey,20,Curling,10,Short Track Speed Skating,10,Speed Skating,5,Bobsleigh,2
1998,CHE,Curling,5,Bobsleigh,4,Alpine Skiing,2,Snowboarding,2,Freestyle Skiing,1
1998,DEU,Biathlon,11,Alpine Skiing,6,Bobsleigh,6,Luge,6,Speed Skating,6
1998,DNK,Curling,5,,,,,,,,
1998,FIN,Ice Hockey,42,Cross Country Skiing,6,Nordic Combined,5,Freestyle Skiing,2,Ski Jumping,2
1998,FRA,Bobsleigh,4,Nordic Combined,4,Figure Skating,3,Alpine Skiing,2,Freestyle Skiing,1
1998,GBR,Bobsleigh,4,,,,,,,,
1998,ITA,Cross Country Skiing,10,Alpine Skiing,2,Bobsleigh,2,Biathlon,1,Luge,1
1998,JPN,Ski Jumping,7,Speed Skating,3,Short Track Speed Skating,2,Freestyle Skiing,1,,
1998,KOR,Short Track Speed Skating,12,,,,,,,,
1998,NLD,Speed Skating,11,,,,,,,,
1998,NOR,Biathlon,11,Cross Country Skiing,11,Curling,5,Nordic Combined,5,Alpine Skiing,4
1998,SWE,Curling,5,Alpine Skiing,1,Cross Country Skiing,1,,,,
1998,USA,Ice Hockey,20,Luge,4,Freestyle Skiing,3,Figure Skating,2,Snowboarding,2
1998,CHN,Short Track Speed Skating,12,Figure Skating,1,Freestyle Skiing,1,,,,
1998,BLR,Biathlon,1,Freestyle Skiing,1,,,,,,
1998,CZE,Ice Hockey,21,Cross Country Skiing,2,,,,,,
1998,KAZ,Cross Country Skiing,1,Speed Skating,1,,,,,,
1998,RUS,Ice Hockey,22,Cross Country Skiing,11,Biathlon,9,Figure Skating,9,Nordic Combined,1
1998,UKR,Biathlon,1,,,,,,,,
2000,ARG,Hockey,16,Sailing,4,,,,,,
2000,AUS,Swimming,46,Hockey,32,Rowing,21,Softball,15,Water Polo,13
2000,AUT,Sailing,3,Athletics,1,,,,,,
2000,BEL,Cycling,3,Judo,2,Tennis,2,,,,
2000,BGR,Weightlifting,3,Canoeing,2,Gymnastics,2,Shooting,2,Wrestling,2
2000,BHS,Athletics,11,,,,,,,,
2000,BRA,Basketball,12,Volleyball,12,Beach Volleyball,6,Athletics,5,Equestrianism,4
2000,CAN,Rowing,9,Synchronized Swimming,8,Diving,3,Canoeing,2,Tennis,2
2000,CHE,Equestrianism,4,Fencing,4,Cycling,2,Triathlon,2,Rowing,1
2000,CHL,Football,17,,,,,,,,
2000,COL,Weightlifting,1,,,,,,,,
2000,CUB,Baseball,24,Athletics,9,Volleyball,8,Boxing,6,Judo,5
2000,DEU,Canoeing,17,Football,17,Cycling,14,Rowing,14,Swimming,11
2000,DNK,Handball,15,Rowing,4,Sailing,3,Athletics,1,Badminton,1
2000,ESP,Football,17,Handball,15,Cycling,2,Tennis,2,Athletics,1
2000,ETH,Athletics,8,,,,,,,,
2000,FIN,Sailing,2,Athletics,1,Shooting,1,Wrestling,1,,
2000,FRA,Fencing,14,Basketball,12,Cycling,10,Rowing,8,Judo,6
2000,GBR,Rowing,17,Cycling,10,Sailing,7,Athletics,6,Equestrianism,4
2000,GRC,Rhythmic Gymnastics,6,Weightlifting,5,Athletics,4,Gymnastics,1,Taekwondo,1
2000,HUN,Canoeing,17,Handball,15,Water Polo,13,Boxing,1,Fencing,1
2000,IDN,Badminton,5,Weightlifting,3,,,,,,
2000,IND,Weightlifting,1,,,,,,,,
2000,IRL,Athletics,1,,,,,,,,
2000,IRN,Weightlifting,2,Taekwondo,1,Wrestling,1,,,,
2000,ISL,Athletics,1,,,,,,,,
2000,ISR,Canoeing,1,,,,,,,,
2000,ITA,Fencing,13,Rowing,12,Volleyball,12,Swimming,6,Canoeing,4
2000,JPN,Softball,15,Synchronized Swimming,11,Judo,8,Swimming,7,Athletics,1
2000,KEN,Athletics,7,,,,,,,,
2000,KOR,Baseball,24,Hockey,16,Archery,9,Judo,5,Badminton,4
2000,LKA,Athletics,1,,,,,,,,
2000,MAR,Athletics,4,Boxing,1,,,,,,
2000,MEX,Athletics,2,Boxing,1,Diving,1,Taekwondo,1,Weightlifting,1
2000,NGA,Athletics,7,Weightlifting,1,,,,,,
2000,NLD,Hockey,32,Swimming,16,Rowing,15,Equestrianism,7,Cycling,4
2000,NOR,Football,17,Handball,15,Sailing,3,Athletics,2,Canoeing,2
2000,NZL,Sailing,2,Equestrianism,1,Rowing,1,,,,
2000,POL,Canoeing,10,Athletics,4,Fencing,4,Rowing,2,Weightlifting,2
2000,PRT,Athletics,1,Judo,1,,,,,,
2000,ROU,Rowing,13,Gymnastics,11,Canoeing,8,Athletics,5,Swimming,4
2000,SWE,Handball,15,Swimming,9,Canoeing,2,Shooting,2,Athletics,1
2000,THA,Boxing,2,Weightlifting,1,,,,,,
2000,TPE,Taekwondo,2,Weightlifting,2,Table Tennis,1,,,,
2000,TUR,Wrestling,2,Judo,1,Taekwondo,1,Weightlifting,1,,
2000,URY,Cycling,1,,,,,,,,
2000,USA,Swimming,66,Athletics,28,Baseball,24,Basketball,23,Softball,15
2000,VNM,Taekwondo,1,,,,,,,,
2000,ZAF,Athletics,3,Swimming,2,,,,,,
2000,CMR,Football,18,,,,,,,,
2000,CRI,Swimming,2,,,,,,,,
2000,DZA,Athletics,4,Boxing,1,,,,,,
2000,JAM,Athletics,23,,,,,,,,
2000,PRK,Boxing,1,Judo,1,Weightlifting,1,Wrestling,1,,
2000,TTO,Athletics,2,,,,,,,,
2000,BRB,Athletics,1,,,,,,,,
2000,KWT,Shooting,1,,,,,,,,
2000,SAU,Athletics,1,Equestrianism,1,,,,,,
2000,CHN,Diving,14,Badminton,12,Gymnastics,12,Table Tennis,12,Shooting,8
2000,MOZ,Athletics,1,,,,,,,,
2000,QAT,Weightlifting,1,,,,,,,,
2000,EST,Judo,2,Athletics,1,,,,,,
2000,HRV,Rowing,9,Weightlifting,1,,,,,,
2000,LTU,Basketball,12,Rowing,2,Athletics,1,Cycling,1,Shooting,1
2000,LVA,Athletics,1,Gymnastics,1,Judo,1,,,,
2000,SVN,Rowing,2,Shooting,1,,,,,,
2000,ARM,Weightlifting,1,,,,,,,,
2000,BLR,Rhythmic Gymnastics,7,Athletics,5,Shooting,4,Weightlifting,2,Judo,1
2000,CZE,Canoeing,3,Athletics,2,Shooting,2,Boxing,1,Triathlon,1
2000,GEO,Wrestling,3,Boxing,1,Judo,1,Weightlifting,1,,
2000,KAZ,Boxing,4,Athletics,1,Cycling,1,Wrestling,1,,
2000,KGZ,Judo,1,,,,,,,,
2000,MDA,Boxing,1,Shooting,1,,,,,,
2000,RUS,Gymnastics,25,Water Polo,25,Volleyball,24,Athletics,18,Handball,15
2000,SVK,Canoeing,4,Swimming,2,,,,,,
2000,UKR,Gymnastics,7,Boxing,5,Cycling,5,Swimming,4,Archery,3
2000,UZB,Boxing,3,Wrestling,1,,,,,,
2000,AZE,Boxing,1,Shooting,1,Wrestling,1,,,,
2000,MKD,Wrestling,1,,,,,,,,
2000,SCG,Water Polo,13,Volleyball,11,Shooting,1,,,,
2002,AUS,Freestyle Skiing,1,Short Track Speed Skating,1,,,,,,
2002,AUT,Alpine Skiing,9,Nordic Combined,6,Cross Country Skiing,2,Biathlon,1,Luge,1
2002,BGR,Short Track Speed Skating,2,Biathlon,1,,,,,,
2002,CAN,Ice Hockey,42,Short Track Speed Skating,14,Curling,10,Speed Skating,3,Figure Skating,2
2002,CHE,Curling,10,Bobsleigh,4,Cross Country Skiing,4,Ski Jumping,2,Snowboarding,2
2002,DEU,Biathlon,15,Cross Country Skiing,11,Bobsleigh,10,Speed Skating,8,Luge,6
2002,FIN,Nordic Combined,7,Ski Jumping,5,Freestyle Skiing,1,,,,
2002,FRA,Biathlon,5,Alpine Skiing,4,Snowboarding,3,Figure Skating,2,Freestyle Skiing,1
2002,GBR,Curling,5,Skeleton,1,,,,,,
2002,ITA,Cross Country Skiing,9,Short Track Speed Skating,5,Alpine Skiing,3,Figure Skating,2,Luge,1
2002,JPN,Freestyle Skiing,1,Speed Skating,1,,,,,,
2002,KOR,Short Track Speed Skating,7,,,,,,,,
2002,NLD,Speed Skating,8,,,,,,,,
2002,NOR,Cross Country Skiing,17,Biathlon,12,Curling,5,Alpine Skiing,4,Speed Skating,2
2002,POL,Ski Jumping,2,,,,,,,,
2002,SWE,Ice Hockey,20,Alpine Skiing,2,Biathlon,2,Cross Country Skiing,1,Snowboarding,1
2002,USA,Ice Hockey,43,Bobsleigh,10,Speed Skating,8,Snowboarding,5,Luge,4
2002,CHN,Short Track Speed Skating,14,Figure Skating,2,,,,,,
2002,EST,Cross Country Skiing,3,,,,,,,,
2002,HRV,Alpine Skiing,4,,,,,,,,
2002,SVN,Ski Jumping,4,,,,,,,,
2002,BLR,Freestyle Skiing,1,,,,,,,,
2002,CZE,Cross Country Skiing,2,Freestyle Skiing,1,,,,,,
2002,RUS,Ice Hockey,21,Figure Skating,7,Biathlon,6,Cross Country Skiing,4,,
2004,ARE,Shooting,1,,,,,,,,
2004,ARG,Football,16,Hockey,16,Basketball,12,Sailing,2,Tennis,2
2004,AUS,Swimming,31,Baseball,24,Rowing,19,Cycling,17,Hockey,16
2004,AUT,Sailing,3,Swimming,2,Judo,1,Shooting,1,Triathlon,1
2004,BEL,Cycling,1,Judo,1,Tennis,1,,,,
2004,BGR,Rhythmic Gymnastics,6,Gymnastics,2,Rowing,2,Shooting,2,Weightlifting,2
2004,BHS,Athletics,2,,,,,,,,
2004,BRA,Football,17,Volleyball,12,Beach Volleyball,4,Sailing,3,Judo,2
2004,CAN,Rowing,4,Canoeing,3,Diving,3,Cycling,2,Sailing,2
2004,CHE,Cycling,3,Beach Volleyball,2,Fencing,1,Triathlon,1,,
2004,CHL,Tennis,4,,,,,,,,
2004,COL,Cycling,1,Weightlifting,1,,,,,,
2004,CUB,Baseball,24,Volleyball,12,Boxing,8,Judo,6,Athletics,5
2004,DEU,Hockey,32,Canoeing,19,Football,17,Swimming,17,Handball,15
2004,DNK,Handball,15,Rowing,4,Sailing,4,Athletics,2,Badminton,2
2004,ESP,Cycling,8,Equestrianism,5,Sailing,5,Athletics,3,Beach Volleyball,2
2004,ETH,Athletics,7,,,,,,,,
2004,FIN,Shooting,1,Wrestling,1,,,,,,
2004,FRA,Fencing,14,Swimming,6,Athletics,5,Cycling,5,Equestrianism,5
2004,GBR,Rowing,12,Cycling,10,Sailing,9,Athletics,7,Equestrianism,7
2004,GRC,Water Polo,13,Athletics,5,Sailing,3,Diving,2,Rowing,2
2004,HKG,Table Tennis,2,,,,,,,,
2004,HUN,Canoeing,14,Water Polo,13,Fencing,6,Swimming,2,Athletics,1
2004,IDN,Badminton,4,Weightlifting,1,,,,,,
2004,IND,Shooting,1,,,,,,,,
2004,IRN,Wrestling,3,Taekwondo,2,Weightlifting,1,,,,
2004,ISR,Judo,1,Sailing,1,,,,,,
2004,ITA,Football,17,Water Polo,13,Basketball,12,Volleyball,12,Fencing,11
2004,JPN,Baseball,24,Softball,14,Swimming,11,Synchronized Swimming,11,Judo,10
2004,KEN,Athletics,7,,,,,,,,
2004,KOR,Handball,15,Archery,8,Badminton,7,Table Tennis,4,Taekwondo,4
2004,MAR,Athletics,3,,,,,,,,
2004,MEX,Taekwondo,2,Athletics,1,Cycling,1,,,,
2004,NGA,Athletics,8,,,,,,,,
2004,NLD,Hockey,32,Rowing,20,Swimming,15,Cycling,4,Judo,4
2004,NOR,Canoeing,3,Athletics,1,Cycling,1,Rowing,1,Sailing,1
2004,NZL,Rowing,2,Triathlon,2,Canoeing,1,Cycling,1,,
2004,POL,Swimming,3,Athletics,2,Canoeing,2,Rowing,2,Fencing,1
2004,PRT,Athletics,2,Cycling,1,,,,,,
2004,ROU,Gymnastics,20,Rowing,13,Athletics,3,Swimming,2,Boxing,1
2004,SWE,Equestrianism,4,Athletics,3,Canoeing,2,Sailing,2,Wrestling,1
2004,THA,Weightlifting,4,Boxing,3,Taekwondo,1,,,,
2004,TPE,Archery,6,Taekwondo,3,,,,,,
2004,TUR,Weightlifting,5,Wrestling,3,Athletics,1,Boxing,1,Taekwondo,1
2004,USA,Swimming,65,Athletics,38,Basketball,24,Gymnastics,19,Rowing,18
2004,VEN,Taekwondo,1,Weightlifting,1,,,,,,
2004,ZAF,Swimming,6,Athletics,2,Rowing,2,,,,
2004,ZWE,Swimming,3,,,,,,,,
2004,CMR,Athletics,1,,,,,,,,
2004,DOM,Athletics,1,,,,,,,,
2004,EGY,Boxing,3,Taekwondo,1,Wrestling,1,,,,
2004,JAM,Athletics,13,,,,,,,,
2004,MNG,Judo,1,,,,,,,,
2004,PRK,Boxing,1,Judo,1,Shooting,1,Table Tennis,1,Weightlifting,1
2004,TTO,Swimming,1,,,,,,,,
2004,PRY,Football,17,,,,,,,,
